name,slug,address,city,state,zip,phone,website,latitude,longitude,description,summary,hours,image_url,logo_url,rating,review_count,seo_tags,premium_score,featured,premium
Laundry Wash USA Stan Schlueter,laundry-wash-usa-stan-schlueter-killeentexas,"3003 W Stan Schlueter Loop, Killeen, TX 76549",Killeen,Texas,76549,+1 254-213-1159,https://www.wellslaundry.com/laundry-wash-usa-stan-schlueter/,31.08556,-97.781732,"Laundry Wash USA Stan Schlueter is a well-maintained laundromat located at 3003 W Stan Schlueter Loop, Killeen, TX 76549. We offer a range of machines to handle loads of all sizes, from regular laundry to bulky items like comforters and blankets. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? Laundry Wash USA Stan Schlueter is your local solution for quality laundry services.","Laundry Wash USA Stan Schlueter is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""6AM-10PM"", ""Tuesday"": ""6AM-10PM"", ""Wednesday"": ""6AM-10PM"", ""Thursday"": ""6AM-10PM"", ""Friday"": ""6AM-10PM"", ""Saturday"": ""6AM-10PM"", ""Sunday"": ""6AM-10PM""}",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrp1LfUOfmw7kzjUGhe_v6iLM3oXjoqz1QNa-kfHS5txqczJyMNPZtAChIBw5eSxhDobV1bngnOwSHJ8-1TvCevvRw1qNx24uy3xCkNqG4bRcgCmGOpYbsj1ROH8yHDLNRQQ7A=w800-h500-k-no,https://lh6.googleusercontent.com/-1JKGwPwiTQw/AAAAAAAAAAI/AAAAAAAAAAA/mD1FA6Fp_QM/s44-p-k-no-ns-nd/photo.jpg,4.4,336,"laundromat, near me, killeen laundromat, laundromat in killeen, laundromat near me open now, cheapest laundromat near me, laundry service near me",99,true,true
Laundry Wash USA Zephyr,laundry-wash-usa-zephyr-killeentexas,"4311 Zephyr Rd, Killeen, TX 76543",Killeen,Texas,76543,+1 254-630-1612,https://www.wellslaundry.com/laundry-wash-usa-zephyr-road/,31.096204,-97.695178,"Laundry Wash USA Zephyr is a well-maintained laundromat located at 4311 Zephyr Rd, Killeen, TX 76543. We offer a range of machines to handle loads of all sizes, from regular laundry to bulky items like comforters and blankets. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? Laundry Wash USA Zephyr is your local solution for quality laundry services.","Laundry Wash USA Zephyr is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""6AM-10PM"", ""Tuesday"": ""6AM-10PM"", ""Wednesday"": ""6AM-10PM"", ""Thursday"": ""6AM-10PM"", ""Friday"": ""6AM-10PM"", ""Saturday"": ""6AM-10PM"", ""Sunday"": ""6AM-10PM""}",https://lh3.googleusercontent.com/p/AF1QipPFWUbT_4egHw2_IeCj2JzkCX1MKQfDbSJzzSD4=w800-h500-k-no,https://lh5.googleusercontent.com/-7zFSCQkpsMc/AAAAAAAAAAI/AAAAAAAAAAA/S38igXq5g08/s44-p-k-no-ns-nd/photo.jpg,4.2,183,"laundromat, near me, killeen laundromat, laundromat in killeen, laundry near me open now, laundromat near me for sale, laundromat for sale near me",98,true,true
Wash N Dry,wash-n-dry-killeentexas,"4201 E Rancier Ave #102, Killeen, TX 76543",Killeen,Texas,76543,,,31.1165275,-97.6835966,"Wash N Dry is a well-maintained laundromat located at 4201 E Rancier Ave #102, Killeen, TX 76543. We offer a range of machines to handle loads of all sizes, from regular laundry to bulky items like comforters and blankets. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? Wash N Dry is your local solution for quality laundry services.","Wash N Dry is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""7AM-9PM"", ""Tuesday"": ""7AM-9PM"", ""Wednesday"": ""7AM-9PM"", ""Thursday"": ""7AM-9PM"", ""Friday"": ""7AM-9PM"", ""Saturday"": ""7AM-9PM"", ""Sunday"": ""7AM-9PM""}",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr3feG1zHJTv8WfVZQJRukgQ9BuUi5ApvgOY06eUaOO0fY8YrFcDbw3mhcip0YTS-YpZbimcThz8XrMf3O_or-_dEsX5_2Eect-CYPO2_BhKBbhsjJAMxuq4Xh2TWhmvX9C0y8=w800-h500-k-no,,3.8,72,"laundromat, near me, killeen laundromat, laundromat in killeen, cheapest laundromat near me, laundry mats near me, closest laundromat near me",80,false,false
Wells Laundry Rancier,wells-laundry-rancier-killeentexas,"3320 E Rancier Ave, Killeen, TX 76543",Killeen,Texas,76543,+1 254-699-7819,https://www.wellslaundry.com/killeen-rancier-ave/,31.1166096,-97.6930496,"Wells Laundry Rancier is a well-maintained laundromat located at 3320 E Rancier Ave, Killeen, TX 76543. We offer a range of machines to handle loads of all sizes, from regular laundry to bulky items like comforters and blankets. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? Wells Laundry Rancier is your local solution for quality laundry services.","Wells Laundry Rancier is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""6AM-10PM"", ""Tuesday"": ""6AM-10PM"", ""Wednesday"": ""6AM-10PM"", ""Thursday"": ""6AM-10PM"", ""Friday"": ""6AM-10PM"", ""Saturday"": ""6AM-10PM"", ""Sunday"": ""6AM-10PM""}",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVzkB0-ZRcnQ_cNmeqqIvxiZ3Hf6t-fHf6RV90XbZdMtshiRQ8orV8KFyl_hbyZlmTRVrk1NG52-2xSm4pf1kEtzg_R1OKfUsD45tHueUkVhto9q6de7S0g37nFOK9eXCJFQuD9w=w800-h500-k-no,https://lh4.googleusercontent.com/--AUPlE1Di_g/AAAAAAAAAAI/AAAAAAAAAAA/foHbhTvBQns/s44-p-k-no-ns-nd/photo.jpg,4.1,135,"laundromat, near me, killeen laundromat, laundromat in killeen, laundry services near me, laundry detergent near me, coin laundromat near me",98,true,true
Wells Laundry Circle M,wells-laundry-circle-m-killeentexas,"1113 Circle M Dr, Killeen, TX 76549",Killeen,Texas,76549,+1 254-526-0281,http://www.wellslaundry.com/killeen-circle-m/,31.089601,-97.7582252,"Wells Laundry Circle M is a well-maintained laundromat located at 1113 Circle M Dr, Killeen, TX 76549. We offer a range of machines to handle loads of all sizes, from regular laundry to bulky items like comforters and blankets. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? Wells Laundry Circle M is your local solution for quality laundry services.","Wells Laundry Circle M is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""6AM-10PM"", ""Tuesday"": ""6AM-10PM"", ""Wednesday"": ""6AM-10PM"", ""Thursday"": ""6AM-10PM"", ""Friday"": ""6AM-10PM"", ""Saturday"": ""6AM-10PM"", ""Sunday"": ""6AM-10PM""}",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqtfgPzaL5ItM0wR4DU06FwQ9VeL6fLMhv1km422yDSBiw7zfRQa6Tqhq_O-K6bBmfkP3Wf8yJ_JyHqjzrzSuXZOkXidUNGgepLejfpPDWTzzqCnUGkdXbo388eCKgLItkWyx39=w800-h500-k-no,https://lh4.googleusercontent.com/-8U8b6mk2B6E/AAAAAAAAAAI/AAAAAAAAAAA/tHI8ZR81oGs/s44-p-k-no-ns-nd/photo.jpg,4.3,267,"laundromat, near me, killeen laundromat, laundromat in killeen, coin laundry near me, laundromat open near me, 24 hr laundry near me",99,true,true
K C Coin Laundry,k-c-coin-laundry-killeentexas,"810 N Gray St # A, Killeen, TX 76541",Killeen,Texas,76541,+1 254-526-4499,,31.1249297,-97.7260933,"K C Coin Laundry is a well-maintained laundromat located at 810 N Gray St # A, Killeen, TX 76541. We provide self-service machines for your convenience, allowing you to do laundry on your schedule. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? K C Coin Laundry is your local solution for quality laundry services.","K C Coin Laundry is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""8AM-9PM"", ""Tuesday"": ""8AM-9PM"", ""Wednesday"": ""8AM-9PM"", ""Thursday"": ""8AM-9PM"", ""Friday"": ""8AM-9PM"", ""Saturday"": ""8AM-9PM"", ""Sunday"": ""8AM-9PM""}",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqKTcrsTYBe4RtXF3rZ45USqy88eGMK7eluzlgDkfoBaid7Y4smPLzatIXyyNwZxFt4m07_OE7cHgRKS6TGNZgGtLGbO3GvFCYN89-djPMusBE1qvpCiCxJm12TIiraUhiWrik=w800-h500-k-no,,4.1,183,"laundromat, coin operated, near me, killeen laundromat, laundromat in killeen, cheapest laundromat near me, 24 hr laundry near me, laundry services near me",88,false,false
Coin Laundry,coin-laundry-killeentexas,"1600 N Roy Reynolds Dr, Killeen, TX 76543",Killeen,Texas,76543,,http://coin-laundry-killeen.keeq.io/,31.115865,-97.6648571,"Coin Laundry is a well-maintained laundromat located at 1600 N Roy Reynolds Dr, Killeen, TX 76543. We provide self-service machines for your convenience, allowing you to do laundry on your schedule. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? Coin Laundry is your local solution for quality laundry services.","Coin Laundry is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""7AM-11PM"", ""Tuesday"": ""7AM-11PM"", ""Wednesday"": ""7AM-11PM"", ""Thursday"": ""7AM-11PM"", ""Friday"": ""7AM-11PM"", ""Saturday"": ""7AM-11PM"", ""Sunday"": ""7AM-11PM""}",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqX6z_3NLlJYoCF9dJm0B6vzkyVAl_7CEXpXke1waVKHMOd6AAjVyIZKZF8-zYjplKpwRsTxEZEr98SH0UC8G-SERwMio4o54Qf8-8baZ_rYrJzi5kRGrqkkTYP_JsOQORc9kOL4A=w800-h500-k-no,,3.8,76,"laundromat, coin operated, near me, killeen laundromat, laundromat in killeen, laundromat near me within 5 mi, coin laundromat near me, best laundromat near me",90,false,true
Wash & Press,wash-press-killeentexas,"701 Santa Rosa Dr, Killeen, TX 76541",Killeen,Texas,76541,,,31.1150408,-97.7429149,"Wash & Press is a well-maintained laundromat located at 701 Santa Rosa Dr, Killeen, TX 76541. We offer a range of machines to handle loads of all sizes, from regular laundry to bulky items like comforters and blankets. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? Wash & Press is your local solution for quality laundry services.","Wash & Press is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""8AM-10PM"", ""Tuesday"": ""8AM-10PM"", ""Wednesday"": ""8AM-10PM"", ""Thursday"": ""8AM-10PM"", ""Friday"": ""8AM-10PM"", ""Saturday"": ""8AM-10PM"", ""Sunday"": ""8AM-10PM""}",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_l5ONcJCglGqu0gpVL7Y_Kgx3FOH1h9cHq7AWaqUPpuqD9HfgqjMGSg13PdklYLComA-QJBj4r5dlrqcjpMiLDiIYcLte9OlscZDkowxEXoexhvCSMw9UtrPgiBtEsjk-AzSQSA=w800-h500-k-no,,4,65,"laundromat, near me, killeen laundromat, laundromat in killeen, laundromat near me within 1 mi, 24-hour laundromat near me, drop off laundry service near me",79,false,false
M S Laundry,m-s-laundry-killeentexas,"500 Parmer Ave, Killeen, TX 76541",Killeen,Texas,76541,+1 254-291-3210,https://mslaundry.weebly.com/,31.1220782,-97.7242319,"M S Laundry is a well-maintained laundromat located at 500 Parmer Ave, Killeen, TX 76541. We offer a range of machines to handle loads of all sizes, from regular laundry to bulky items like comforters and blankets. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? M S Laundry is your local solution for quality laundry services.","M S Laundry is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""7AM-10PM"", ""Tuesday"": ""7AM-10PM"", ""Wednesday"": ""7AM-10PM"", ""Thursday"": ""7AM-10PM"", ""Friday"": ""7AM-10PM"", ""Saturday"": ""7AM-10PM"", ""Sunday"": ""7AM-10PM""}",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nokO97wQWm8iPfBkgywRgpGplryI-3-jT9r-sjmXrmNoz-43giGs708QDZ8_yEvaizLMtsrOLXKhtHVy41qHqKdhTF6heES_j3cXaxcS_ndI-Tt2G5N0KWGbycHwY32YmuMVfHJ=w800-h500-k-no,,4,101,"laundromat, near me, killeen laundromat, laundromat in killeen, laundry detergent near me, laundry jobs near me, wash and fold laundry service near me",98,true,true
Wells Laundry 38th Street,wells-laundry-38th-street-killeentexas,"315 S 38th St, Killeen, TX 76543",Killeen,Texas,76543,+1 254-953-4977,https://www.wellslaundry.com/killeen-38th-street/,31.106472,-97.70376,"Wells Laundry 38th Street is a well-maintained laundromat located at 315 S 38th St, Killeen, TX 76543. We offer a range of machines to handle loads of all sizes, from regular laundry to bulky items like comforters and blankets. Visit us for a clean, efficient laundry experience with well-maintained machines and a comfortable environment. Looking for a ""laundromat near me"" in Killeen? Wells Laundry 38th Street is your local solution for quality laundry services.","Wells Laundry 38th Street is a conveniently located laundromat in Killeen, Texas offering full-service. Clean facilities and modern equipment for a hassle-free laundry experience near you.","{""Monday"": ""6AM-10PM"", ""Tuesday"": ""6AM-10PM"", ""Wednesday"": ""6AM-10PM"", ""Thursday"": ""6AM-10PM"", ""Friday"": ""6AM-10PM"", ""Saturday"": ""6AM-10PM"", ""Sunday"": ""6AM-10PM""}",https://lh3.googleusercontent.com/p/AF1QipNh3Nkvr3QPxJptARwcv8wSxonrxf18mN2P7xMN=w800-h500-k-no,https://lh3.googleusercontent.com/-fNaazANHk6w/AAAAAAAAAAI/AAAAAAAAAAA/KG4q26pYUoc/s44-p-k-no-ns-nd/photo.jpg,4.1,221,"laundromat, near me, killeen laundromat, laundromat in killeen, closest laundromat near me, coin laundry near me, 24-hour laundromat near me",98,true,true
